Group_concept,Evaluation,Potency,Activity
An Angry Mob,-2.70,2.18,3.09
A Book Club,2.01,-0.70,-1.99
Californians,0.73,0.78,0.99
A Cast of a Play,1.85,0.75,1.42
Chess Tournament Competitors,1.44,0.97,-1.69
Classmates,1.00,0.37,0.69
A Club Sports Team,1.27,1.51,2.03
A Crowd,-0.09,1.15,1.86
A Cult,-2.31,1.20,0.70
A Customer Service Department,0.75,0.24,0.70
Elderly People,1.63,-1.46,-2.28
Elementary School Students,1.90,-0.81,2.75
An Environmental Organization,1.91,1.20,1.24
An Estranged Family,-0.42,-1.19,-0.81
Estranged Friends,-0.79,-0.87,-1.22
A Family,2.16,1.45,1.16
Fast Food Servers,0.86,-0.85,1.42
A Firing Squad,-1.90,2.53,2.48
A Fraternity,-0.29,0.67,2.31
Fraternity Brothers,-0.56,0.92,2.08
Friends,2.23,1.29,0.98
Funeral Mourners,0.99,-0.90,-1.91
Hispanics/Latinos,1.27,0.49,0.87
Hoarders ,-1.10,-1.87,-1.65
Human Rights Activists,1.31,1.63,2.24
A Hung Jury,-0.58,-0.56,-1.34
An Infant Playgroup,1.91,-1.90,1.90
Intellectuals,1.53,1.57,-0.15
Internet Bloggers,0.16,0.47,0.34
Internet Stalkers,-2.30,-0.16,-0.66
Jews,1.44,1.07,0.29
A Jury,1.03,2.44,-0.84
Juvenile Delinquents,-1.80,-0.56,1.88
Meth Addicts,-2.06,-2.31,1.10
A Meth Lab Group,-2.59,0.07,1.24
A Needy Family,0.65,-2.01,-0.51
Newborns,1.97,-3.02,-0.43
Night Security Guards,1.25,0.86,-0.65
Nursing Home Patients,1.42,-2.22,-2.61
A Political Party,-0.68,2.24,1.44
Prison Cellmates,-2.08,-0.65,1.10
A Prison Work Team,-0.77,-0.53,0.93
Protesters,0.48,1.48,2.28
A Quilting Group,1.88,-0.76,-1.58
Referees,0.70,1.76,1.54
A Rioting Crowd,-2.40,2.02,2.81
A Role Playing Group,1.49,-0.02,0.54
Sales Associates,0.38,-0.03,1.47
Scrooges,-2.11,0.42,-0.64
Senior Citizens,1.88,-0.89,-2.33
A Sex Trafficking Ring,-3.41,2.05,1.01
A Soup Kitchen Line,1.44,-0.37,0.30
A Sports Team,1.33,1.86,2.59
Strip Club Customers,-1.10,-0.71,0.95
A Student Campus Committee,1.45,1.18,1.39
A Suicide Cult,-2.96,0.02,-0.25
Telemarketers,-2.01,-1.30,1.65
A Terrorist Cell,-3.18,1.24,1.13
Terrorists,-3.21,1.39,2.17
A Theater Audience,1.05,-0.06,-1.07
An Unknown Rock Band,0.23,-0.49,1.86
A Videography Team,1.13,0.52,0.80
A Volunteer Group,2.46,1.16,0.87
Walmart Greeters,1.72,-1.37,-0.89