term,condition,dimension,rating
classmate,1,E,1.02 (1.20)
prison cellmate,1,E,-1.73 (1.62)
friend,1,E,2.80 (1.13)
estranged friend,1,E,0.05 (1.41)
Walmart greeter,1,E,1.83 (1.19)
telemarketer,1,E,-1.21 (1.62)
sales associate,1,E,0.53 (1.29)
fast food server,1,E,1.31 (1.34)
human rights activist,1,E,1.64 (1.80)
Internet blogger,1,E,0.74 (1.35)
fraternity brother,1,E,-0.04 (1.73)
referee,1,E,0.98 (1.33)
night security guard,1,E,1.33 (1.35)
intellectual,1,E,1.47 (1.42)
newborn,1,E,2.88 (1.70)
elementary school student,1,E,1.37 (1.72)
senior citizen,1,E,1.79 (1.31)
nursing home patient,1,E,1.69 (1.44)
terrorist,1,E,-3.63 (0.98)
scrooge,1,E,-2.17 (1.42)
juvenile delinquent,1,E,-1.81 (1.13)
meth addict,1,E,-2.05 (1.60)
hoarder,1,E,-0.61 (1.32)
Internet stalker,1,E,-2.82 (1.45)
protester,1,E,0.01 (1.58)
chess tournament competitor,1,E,1.37 (1.30)
funeral mourner,1,E,1.18 (1.53)
strip club customer,1,E,-0.96 (1.30)
classmate,2,E,1.03 (1.20)
prison cellmate,2,E,-1.48 (1.72)
friend,2,E,2.64 (1.25)
estranged friend,2,E,-0.16 (1.38)
Walmart greeter,2,E,2.01 (1.50)
telemarketer,2,E,-1.44 (1.63)
sales associate,2,E,0.33 (1.35)
fast food server,2,E,1.20 (1.15)
human rights activist,2,E,1.39 (1.84)
Internet blogger,2,E,0.41 (1.21)
fraternity brother,2,E,-0.46 (1.55)
referee,2,E,1.01 (1.30)
night security guard,2,E,1.48 (1.17)
intellectual,2,E,1.55 (1.35)
newborn,2,E,2.57 (1.78)
elementary school student,2,E,1.66 (1.64)
senior citizen,2,E,1.91 (1.53)
nursing home patient,2,E,1.65 (1.50)
terrorist,2,E,-3.43 (1.23)
scrooge,2,E,-2.19 (1.53)
juvenile delinquent,2,E,-1.61 (1.46)
meth addict,2,E,-2.03 (1.20)
hoarder,2,E,-0.93 (1.29)
Internet stalker,2,E,-2.84 (1.39)
protester,2,E,0.53 (1.51)
chess tournament competitor,2,E,1.51 (1.31)
funeral mourner,2,E,1.39 (1.55)
strip club customer,2,E,-0.97 (1.63)
classmate,3,E,0.96 (1.28)
prison cellmate,3,E,-2.12 (1.20)
friend,3,E,2.85 (1.19)
estranged friend,3,E,-0.17 (1.33)
Walmart greeter,3,E,1.71 (1.46)
telemarketer,3,E,-1.87 (1.79)
sales associate,3,E,0.59 (1.57)
fast food server,3,E,1.14 (1.26)
human rights activist,3,E,1.75 (1.77)
Internet blogger,3,E,0.71 (1.11)
fraternity brother,3,E,-0.42 (1.44)
referee,3,E,0.78 (1.35)
night security guard,3,E,1.28 (1.19)
intellectual,3,E,1.47 (1.33)
newborn,3,E,2.78 (1.55)
elementary school student,3,E,1.71 (1.54)
senior citizen,3,E,1.63 (1.79)
nursing home patient,3,E,1.51 (1.51)
terrorist,3,E,-3.44 (1.30)
scrooge,3,E,-2.24 (1.24)
juvenile delinquent,3,E,-1.83 (1.13)
meth addict,3,E,-2.31 (1.39)
hoarder,3,E,-0.42 (1.57)
Internet stalker,3,E,-3.13 (1.04)
protester,3,E,0.22 (1.56)
chess tournament competitor,3,E,1.49 (1.37)
funeral mourner,3,E,1.52 (1.28)
strip club customer,3,E,-0.92 (1.48)
classmate,4,E,1.23 (1.28)
prison cellmate,4,E,-2.00 (1.32)
friend,4,E,2.16 (1.41)
estranged friend,4,E,-0.13 (1.52)
Walmart greeter,4,E,1.79 (1.36)
telemarketer,4,E,-1.71 (1.87)
sales associate,4,E,0.77 (1.39)
fast food server,4,E,0.84 (1.47)
human rights activist,4,E,1.95 (1.57)
Internet blogger,4,E,0.44 (1.40)
fraternity brother,4,E,-0.15 (1.67)
referee,4,E,0.89 (1.05)
night security guard,4,E,1.68 (1.20)
intellectual,4,E,1.57 (1.24)
newborn,4,E,2.69 (1.53)
elementary school student,4,E,1.47 (1.54)
senior citizen,4,E,1.61 (1.42)
nursing home patient,4,E,1.75 (1.62)
terrorist,4,E,-3.54 (1.28)
scrooge,4,E,-1.23 (1.79)
juvenile delinquent,4,E,-1.77 (1.50)
meth addict,4,E,-2.16 (1.29)
hoarder,4,E,-1.00 (1.40)
Internet stalker,4,E,-2.88 (1.27)
protester,4,E,0.57 (1.73)
chess tournament competitor,4,E,1.75 (1.41)
funeral mourner,4,E,1.20 (1.60)
strip club customer,4,E,-0.93 (1.60)
classmate,5,E,1.08 (1.05)
prison cellmate,5,E,-1.91 (1.21)
friend,5,E,2.25 (1.44)
estranged friend,5,E,-0.15 (1.35)
Walmart greeter,5,E,1.92 (1.22)
telemarketer,5,E,-1.72 (1.76)
sales associate,5,E,0.56 (1.41)
fast food server,5,E,0.93 (1.12)
human rights activist,5,E,1.42 (1.68)
Internet blogger,5,E,0.34 (1.34)
fraternity brother,5,E,-0.64 (1.66)
referee,5,E,0.70 (1.35)
night security guard,5,E,0.95 (1.28)
intellectual,5,E,1.60 (1.22)
newborn,5,E,2.88 (1.63)
elementary school student,5,E,1.61 (1.40)
senior citizen,5,E,1.66 (1.27)
nursing home patient,5,E,1.61 (1.43)
terrorist,5,E,-3.66 (0.73)
scrooge,5,E,-2.36 (1.30)
juvenile delinquent,5,E,-1.51 (1.48)
meth addict,5,E,-1.59 (1.66)
hoarder,5,E,-0.53 (1.32)
Internet stalker,5,E,-3.08 (1.21)
protester,5,E,0.06 (1.39)
chess tournament competitor,5,E,1.61 (1.07)
funeral mourner,5,E,1.17 (1.46)
strip club customer,5,E,-0.87 (1.27)
classmate,1,P,0.06 (1.04)
prison cellmate,1,P,-0.54 (2.09)
friend,1,P,1.22 (1.01)
estranged friend,1,P,-0.07 (1.16)
Walmart greeter,1,P,-1.24 (1.54)
telemarketer,1,P,-0.85 (1.47)
sales associate,1,P,0.05 (1.31)
fast food server,1,P,-0.64 (1.58)
human rights activist,1,P,1.22 (1.52)
Internet blogger,1,P,0.61 (1.50)
fraternity brother,1,P,1.07 (1.41)
referee,1,P,1.83 (1.38)
night security guard,1,P,1.15 (1.37)
intellectual,1,P,1.35 (1.53)
newborn,1,P,-3.38 (0.97)
elementary school student,1,P,-1.13 (1.77)
senior citizen,1,P,-1.22 (1.63)
nursing home patient,1,P,-2.85 (0.85)
terrorist,1,P,0.54 (2.36)
scrooge,1,P,0.17 (1.87)
juvenile delinquent,1,P,-1.25 (1.53)
meth addict,1,P,-2.66 (1.47)
hoarder,1,P,-2.08 (1.33)
Internet stalker,1,P,-0.34 (2.30)
protester,1,P,0.32 (1.70)
chess tournament competitor,1,P,0.98 (1.41)
funeral mourner,1,P,-1.41 (1.72)
strip club customer,1,P,-0.88 (1.40)
classmate,2,P,0.14 (0.97)
prison cellmate,2,P,-0.52 (2.00)
friend,2,P,1.26 (1.05)
estranged friend,2,P,-0.51 (1.25)
Walmart greeter,2,P,-1.38 (1.39)
telemarketer,2,P,-1.13 (1.61)
sales associate,2,P,0.07 (1.27)
fast food server,2,P,-0.92 (1.57)
human rights activist,2,P,1.04 (1.45)
Internet blogger,2,P,0.45 (1.45)
fraternity brother,2,P,0.41 (1.71)
referee,2,P,2.01 (1.27)
night security guard,2,P,1.15 (1.44)
intellectual,2,P,1.63 (1.29)
newborn,2,P,-2.79 (1.98)
elementary school student,2,P,-1.42 (1.68)
senior citizen,2,P,-1.41 (1.77)
nursing home patient,2,P,-2.54 (1.59)
terrorist,2,P,0.89 (2.30)
scrooge,2,P,0.93 (1.96)
juvenile delinquent,2,P,-1.01 (1.65)
meth addict,2,P,-2.60 (1.50)
hoarder,2,P,-2.32 (1.29)
Internet stalker,2,P,-0.66 (2.27)
protester,2,P,0.67 (1.28)
chess tournament competitor,2,P,0.92 (1.44)
funeral mourner,2,P,-1.40 (1.80)
strip club customer,2,P,-0.99 (1.70)
classmate,3,P,0.25 (0.99)
prison cellmate,3,P,-0.73 (2.04)
friend,3,P,1.29 (1.34)
estranged friend,3,P,-0.36 (1.24)
Walmart greeter,3,P,-0.97 (1.56)
telemarketer,3,P,-1.17 (1.83)
sales associate,3,P,-0.03 (1.43)
fast food server,3,P,-1.23 (1.55)
human rights activist,3,P,1.14 (1.32)
Internet blogger,3,P,0.47 (1.25)
fraternity brother,3,P,0.49 (1.39)
referee,3,P,1.81 (1.24)
night security guard,3,P,1.04 (1.26)
intellectual,3,P,1.59 (1.40)
newborn,3,P,-2.94 (1.74)
elementary school student,3,P,-1.43 (1.98)
senior citizen,3,P,-1.66 (1.48)
nursing home patient,3,P,-2.80 (1.04)
terrorist,3,P,0.89 (2.28)
scrooge,3,P,0.05 (1.89)
juvenile delinquent,3,P,-1.07 (1.67)
meth addict,3,P,-2.72 (1.29)
hoarder,3,P,-2.19 (1.45)
Internet stalker,3,P,-0.18 (2.09)
protester,3,P,0.78 (1.72)
chess tournament competitor,3,P,0.81 (1.50)
funeral mourner,3,P,-1.23 (1.54)
strip club customer,3,P,-0.75 (1.66)
classmate,4,P,0.32 (1.26)
prison cellmate,4,P,-0.66 (2.15)
friend,4,P,1.04 (1.17)
estranged friend,4,P,-0.18 (1.32)
Walmart greeter,4,P,-0.78 (1.70)
telemarketer,4,P,-1.13 (1.66)
sales associate,4,P,0.14 (1.53)
fast food server,4,P,-1.10 (1.59)
human rights activist,4,P,0.90 (1.64)
Internet blogger,4,P,0.61 (1.38)
fraternity brother,4,P,1.11 (1.25)
referee,4,P,2.25 (0.97)
night security guard,4,P,1.19 (1.55)
intellectual,4,P,1.30 (1.49)
newborn,4,P,-3.16 (1.33)
elementary school student,4,P,-1.27 (1.72)
senior citizen,4,P,-1.34 (1.72)
nursing home patient,4,P,-2.54 (1.55)
terrorist,4,P,0.69 (2.38)
scrooge,4,P,0.56 (1.60)
juvenile delinquent,4,P,-0.68 (1.56)
meth addict,4,P,-2.36 (1.52)
hoarder,4,P,-1.94 (1.40)
Internet stalker,4,P,-0.78 (1.85)
protester,4,P,0.83 (1.66)
chess tournament competitor,4,P,0.88 (1.48)
funeral mourner,4,P,-1.40 (1.35)
strip club customer,4,P,-0.77 (1.88)
classmate,5,P,0.13 (1.10)
prison cellmate,5,P,-0.68 (2.18)
friend,5,P,1.03 (1.24)
estranged friend,5,P,-0.54 (1.08)
Walmart greeter,5,P,-1.51 (1.34)
telemarketer,5,P,-1.13 (1.87)
sales associate,5,P,-0.03 (1.40)
fast food server,5,P,-0.74 (1.37)
human rights activist,5,P,0.76 (1.62)
Internet blogger,5,P,0.13 (1.46)
fraternity brother,5,P,0.90 (1.45)
referee,5,P,1.67 (1.18)
night security guard,5,P,0.80 (1.56)
intellectual,5,P,1.47 (1.24)
newborn,5,P,-3.35 (1.18)
elementary school student,5,P,-1.12 (1.68)
senior citizen,5,P,-1.39 (1.52)
nursing home patient,5,P,-2.31 (1.52)
terrorist,5,P,0.51 (2.17)
scrooge,5,P,0.54 (1.89)
juvenile delinquent,5,P,-0.64 (1.60)
meth addict,5,P,-2.39 (1.71)
hoarder,5,P,-2.12 (1.23)
Internet stalker,5,P,-0.58 (2.31)
protester,5,P,0.83 (1.53)
chess tournament competitor,5,P,0.79 (1.43)
funeral mourner,5,P,-1.20 (1.48)
strip club customer,5,P,-0.83 (1.44)
classmate,1,A,0.28 (1.20)
prison cellmate,1,A,0.19 (1.77)
friend,1,A,0.66 (1.12)
estranged friend,1,A,-0.13 (1.30)
Walmart greeter,1,A,-0.80 (1.71)
telemarketer,1,A,1.79 (1.64)
sales associate,1,A,1.52 (1.57)
fast food server,1,A,1.18 (1.85)
human rights activist,1,A,2.04 (1.59)
Internet blogger,1,A,0.40 (1.90)
fraternity brother,1,A,2.48 (1.19)
referee,1,A,1.92 (1.43)
night security guard,1,A,-0.66 (1.66)
intellectual,1,A,-0.89 (1.71)
newborn,1,A,0.13 (2.62)
elementary school student,1,A,2.29 (1.81)
senior citizen,1,A,-2.17 (1.25)
nursing home patient,1,A,-2.99 (0.76)
terrorist,1,A,1.80 (1.98)
scrooge,1,A,-0.88 (1.72)
juvenile delinquent,1,A,1.72 (1.49)
meth addict,1,A,0.91 (2.47)
hoarder,1,A,-1.26 (1.81)
Internet stalker,1,A,-0.86 (2.23)
protester,1,A,2.54 (1.16)
chess tournament competitor,1,A,-1.41 (1.68)
funeral mourner,1,A,-2.09 (1.55)
strip club customer,1,A,0.16 (1.88)
classmate,2,A,0.35 (1.15)
prison cellmate,2,A,-0.01 (1.67)
friend,2,A,0.75 (1.25)
estranged friend,2,A,-0.63 (1.36)
Walmart greeter,2,A,-0.87 (1.88)
telemarketer,2,A,1.95 (1.58)
sales associate,2,A,1.37 (1.38)
fast food server,2,A,1.26 (1.57)
human rights activist,2,A,2.08 (1.36)
Internet blogger,2,A,0.33 (1.89)
fraternity brother,2,A,2.34 (1.25)
referee,2,A,2.00 (1.36)
night security guard,2,A,-0.52 (1.88)
intellectual,2,A,-0.69 (1.87)
newborn,2,A,-0.60 (2.51)
elementary school student,2,A,2.08 (1.84)
senior citizen,2,A,-2.17 (1.20)
nursing home patient,2,A,-2.72 (1.34)
terrorist,2,A,1.03 (2.60)
scrooge,2,A,-0.77 (2.03)
juvenile delinquent,2,A,2.08 (1.36)
meth addict,2,A,0.48 (2.46)
hoarder,2,A,-1.49 (1.59)
Internet stalker,2,A,-0.66 (2.44)
protester,2,A,2.50 (1.15)
chess tournament competitor,2,A,-1.53 (1.81)
funeral mourner,2,A,-1.88 (1.57)
strip club customer,2,A,-0.12 (1.84)
classmate,3,A,0.93 (1.26)
prison cellmate,3,A,0.96 (1.78)
friend,3,A,0.46 (1.55)
estranged friend,3,A,-0.59 (1.45)
Walmart greeter,3,A,-0.84 (1.63)
telemarketer,3,A,1.78 (1.91)
sales associate,3,A,1.72 (1.17)
fast food server,3,A,1.59 (1.48)
human rights activist,3,A,2.46 (1.30)
Internet blogger,3,A,0.78 (1.68)
fraternity brother,3,A,2.44 (1.49)
referee,3,A,1.56 (1.66)
night security guard,3,A,-0.54 (1.66)
intellectual,3,A,-0.61 (1.86)
newborn,3,A,-0.52 (2.25)
elementary school student,3,A,2.83 (1.35)
senior citizen,3,A,-2.12 (1.45)
nursing home patient,3,A,-2.69 (1.38)
terrorist,3,A,1.65 (2.17)
scrooge,3,A,-1.10 (1.66)
juvenile delinquent,3,A,2.11 (1.44)
meth addict,3,A,0.90 (2.64)
hoarder,3,A,-1.59 (1.86)
Internet stalker,3,A,-0.60 (2.27)
protester,3,A,2.63 (1.33)
chess tournament competitor,3,A,-1.26 (1.74)
funeral mourner,3,A,-2.16 (1.26)
strip club customer,3,A,0.46 (1.80)
classmate,4,A,0.93 (1.41)
prison cellmate,4,A,0.99 (1.66)
friend,4,A,1.05 (1.13)
estranged friend,4,A,-0.32 (1.29)
Walmart greeter,4,A,-0.37 (1.78)
telemarketer,4,A,2.04 (1.66)
sales associate,4,A,1.26 (1.56)
fast food server,4,A,1.24 (1.64)
human rights activist,4,A,2.20 (1.40)
Internet blogger,4,A,0.93 (1.65)
fraternity brother,4,A,2.13 (1.79)
referee,4,A,2.07 (1.20)
night security guard,4,A,-0.75 (1.77)
intellectual,4,A,-0.82 (1.69)
newborn,4,A,-0.05 (2.32)
elementary school student,4,A,2.89 (1.14)
senior citizen,4,A,-2.41 (1.28)
nursing home patient,4,A,-2.43 (1.75)
terrorist,4,A,1.41 (2.25)
scrooge,4,A,0.07 (1.97)
juvenile delinquent,4,A,2.00 (1.54)
meth addict,4,A,1.13 (2.28)
hoarder,4,A,-1.46 (1.43)
Internet stalker,4,A,-0.43 (2.17)
protester,4,A,2.71 (1.14)
chess tournament competitor,4,A,-1.68 (1.83)
funeral mourner,4,A,-2.06 (1.42)
strip club customer,4,A,1.09 (1.81)
classmate,5,A,0.77 (1.22)
prison cellmate,5,A,0.84 (1.73)
friend,5,A,0.75 (1.21)
estranged friend,5,A,-0.49 (1.40)
Walmart greeter,5,A,-0.80 (1.75)
telemarketer,5,A,2.10 (1.66)
sales associate,5,A,1.43 (1.55)
fast food server,5,A,1.74 (1.33)
human rights activist,5,A,1.73 (1.43)
Internet blogger,5,A,0.51 (1.80)
fraternity brother,5,A,2.70 (1.25)
referee,5,A,1.70 (1.56)
night security guard,5,A,-0.84 (1.60)
intellectual,5,A,-0.58 (1.68)
newborn,5,A,0.25 (2.33)
elementary school student,5,A,2.58 (1.40)
senior citizen,5,A,-2.06 (1.29)
nursing home patient,5,A,-2.53 (1.33)
terrorist,5,A,1.22 (2.36)
scrooge,5,A,-0.48 (1.97)
juvenile delinquent,5,A,1.62 (1.59)
