term,E,P,A,E2,P2,A2
Air_Force_enlistee,2.14,1.67,0.89,2.14,1.67,0.89
Air_Force_officer,2.22,2.54,1.77,2.22,2.54,1.77
Air_Force_reservist,1.91,1.55,0.61,1.91,1.55,0.61
American,1.41,1.78,1.76,1.41,1.78,1.76
Arab,0.41,0.55,0.2,0.41,0.55,0.2
Army_enlistee,2.42,1.69,1.37,2.42,1.69,1.37
Army_officer,1.47,2.44,1.72,1.47,2.44,1.72
Army_reservist,1.95,1.42,0.63,1.95,1.42,0.63
Asian,1.43,0.42,-0.27,1.43,0.42,-0.27
Asian_American,1.13,0.79,-0.02,1.13,0.79,-0.02
Asian_man,0.83,0.25,-0.37,0.83,0.25,-0.37
Asian_woman,1.02,0.14,-0.35,1.02,0.14,-0.35
Australian,1.08,0.25,0.61,1.08,0.25,0.61
Austrian,0.65,0.26,0.44,0.65,0.26,0.44
Black,0.93,0.83,1.16,0.93,0.83,1.16
Buddhist,1.33,0.66,-1.88,1.33,0.66,-1.88
CEO,0.98,3.29,1.57,0.98,3.29,1.57
CPA,0.72,1.33,-0.44,0.72,1.33,-0.44
Catholic,0.54,0.51,-0.19,0.54,0.51,-0.19
Chinese,0.94,0.35,0.09,0.94,0.35,0.09
Christian,1.62,1.5,0.73,1.62,1.5,0.73
Christian_missionary,1.77,1.69,0.57,1.77,1.69,0.57
German,0.56,0.8,0.73,0.56,0.8,0.73
God,3.34,3.64,-0.37,3.34,3.64,-0.37
Hindu,0.82,0.14,-0.61,0.82,0.14,-0.61
Hispanic_American,1.08,-0.03,0.35,1.08,-0.03,0.35
Hispanic_man,0.59,-0.16,0.53,0.59,-0.16,0.53
Hispanic_woman,0.98,0.01,0.97,0.98,0.01,0.97
Imam,0.39,1.4,-0.02,0.39,1.4,-0.02
Jew,1.25,0.68,0.2,1.25,0.68,0.2
Marine_Corps_enlistee,2.09,1.51,1.21,2.09,1.51,1.21
Marine_Corps_officer,2,2.65,2.01,2,2.65,2.01
Marine_Corps_reservist,1.65,1.68,0.54,1.65,1.68,0.54
Methodist,1.34,0.58,0.03,1.34,0.58,0.03
Mormon,0.11,-0.42,-0.53,0.11,-0.42,-0.53
Muslim,0.71,0.26,-0.12,0.71,0.26,-0.12
Navy_enlistee,1.98,1.22,1,1.98,1.22,1
Navy_officer,2.1,2.68,1.03,2.1,2.68,1.03
Navy_reservist,1.9,1.44,0.47,1.9,1.44,0.47
Pentecostal,0.4,0.07,0.65,0.4,0.07,0.65
Protestant,1.05,0.6,0.48,1.05,0.6,0.48
Turk,0.29,0.12,0.06,0.29,0.12,0.06
abortionist,-0.89,1.07,-0.23,-0.89,1.07,-0.23
academic,2.34,2.33,-0.06,2.34,2.33,-0.06
accomplice,-0.09,0.27,0.19,-0.09,0.27,0.19
accountant,1.14,1.32,-0.27,1.14,1.32,-0.27
accounting_clerk,0.98,0.44,-1.02,0.98,0.44,-1.02
accused,-1.5,-1.44,-0.03,-1.5,-1.44,-0.03
acquaintance,1.12,-0.05,-0.13,1.12,-0.05,-0.13
actor,0.91,1.41,1.75,0.91,1.41,1.75
addict,-2.44,-2.29,0.04,-2.44,-2.29,0.04
adolescent,0.63,-0.85,2.19,0.63,-0.85,2.19
adopted_child,1.97,-0.04,0.19,1.97,-0.04,0.19
adopted_daughter,1.95,0.34,0.1,1.95,0.34,0.1
adopted_son,1.72,0.35,0.26,1.72,0.35,0.26
adult,0.95,1.9,0.33,0.95,1.9,0.33
adulterer,-3.05,0.01,0.29,-3.05,0.01,0.29
adulteress,-2.48,0.42,1.08,-2.48,0.42,1.08
advertising_copy_writer,0.58,0.34,0.74,0.58,0.34,0.74
advertising_executive,0.36,2.14,1.33,0.36,2.14,1.33
agnostic,0.03,-0.26,0.06,0.03,-0.26,0.06
aide,2.01,1.48,0.48,2.01,1.48,0.48
airline_pilot,1.71,2.53,0.42,1.71,2.53,0.42
alcoholic,-2.44,-1.8,1.3,-2.44,-1.8,1.3
ally,2.43,2.23,-0.24,2.43,2.23,-0.24
alumnus,1.62,1.39,0.32,1.62,1.39,0.32
ambassador,1.56,2.3,0.3,1.56,2.3,0.3
anesthetist,1.45,1.87,-1.11,1.45,1.87,-1.11
angel,3.33,2.85,-0.86,3.33,2.85,-0.86
anti_Semite,-2.83,-0.44,1.49,-2.83,-0.44,1.49
applicant,1.13,-0.78,0.08,1.13,-0.78,0.08
apprentice,1.54,-0.4,0.05,1.54,-0.4,0.05
architect,1.56,1.8,-0.39,1.56,1.8,-0.39
army_chaplain,2.08,1.46,0.49,2.08,1.46,0.49
army_general,1.81,3.32,2.33,1.81,3.32,2.33
arsonist,-3.31,1.52,0.65,-3.31,1.52,0.65
artist,1.67,0.76,-0.38,1.67,0.76,-0.38
ass,-1.44,0.26,1.34,-1.44,0.26,1.34
assailant,-2.23,1.58,0.86,-2.23,1.58,0.86
assassin,-2.58,2.68,-0.47,-2.58,2.68,-0.47
assembly_line_worker,0.83,-1.04,0.7,0.83,-1.04,0.7
assistant,1.58,-0.26,0.12,1.58,-0.26,0.12
astrologer,0.88,0.29,-0.45,0.88,0.29,-0.45
astronaut,2.53,2.24,0.71,2.53,2.24,0.71
atheist,-0.52,-0.52,-0.03,-0.52,-0.52,-0.03
athlete,1.79,2.52,2.4,1.79,2.52,2.4
attorney,1.16,2.46,1.62,1.16,2.46,1.62
attorney_general,0.9,2.69,0.98,0.9,2.69,0.98
auctioneer,0.82,1.18,3.04,0.82,1.18,3.04
auditor,-0.08,1.44,-0.67,-0.08,1.44,-0.67
auditor_general,-0.12,1.57,0.22,-0.12,1.57,0.22
aunt,2.04,0.68,0.68,2.04,0.68,0.68
author,1.39,1.84,-1.21,1.39,1.84,-1.21
authority,0.75,3.06,0.69,0.75,3.06,0.69
autistic_person,0.68,-0.92,-0.19,0.68,-0.92,-0.19
auto_mechanic,1.33,0.48,0.76,1.33,0.48,0.76
automobile_assembler,1.04,0.35,0.86,1.04,0.35,0.86
baby,2.55,-2.58,1.63,2.55,-2.58,1.63
babysitter,2.01,1.28,0.59,2.01,1.28,0.59
bachelor,0.69,0.74,1.41,0.69,0.74,1.41
backstabber,-3.73,0.83,-0.25,-3.73,0.83,-0.25
bailiff,0.9,1.66,0.26,0.9,1.66,0.26
bailsman,0.59,1.35,0.47,0.59,1.35,0.47
baker,1.91,0.57,0.06,1.91,0.57,0.06
bandit,-2.2,0.92,1.31,-2.2,0.92,1.31
bank_manager,0.98,1.91,0.2,0.98,1.91,0.2
bank_teller,1.14,0.56,-0.49,1.14,0.56,-0.49
banker,1.02,1.27,-0.66,1.02,1.27,-0.66
baptist,0.73,0.65,0.84,0.73,0.65,0.84
barber,1.33,0.25,0.45,1.33,0.25,0.45
bartender,1.15,1.17,2.21,1.15,1.17,2.21
bastard,-1.66,-0.72,0.6,-1.66,-0.72,0.6
battered_woman,-2.2,-1.99,-1.69,-2.2,-1.99,-1.69
beautician,1.36,0.05,1.08,1.36,0.05,1.08
beauty,2.4,2.05,0.4,2.4,2.05,0.4
beggar,-1.17,-2.69,-0.77,-1.17,-2.69,-0.77
beginner,0.3,-1.42,-0.87,0.3,-1.42,-0.87
bellhop,1.2,-0.94,0.95,1.2,-0.94,0.95
benefactor,2.02,2.11,0.16,2.02,2.11,0.16
best_friend,3.58,3.15,1.48,3.58,3.15,1.48
best_man,2.55,1.48,0.84,2.55,1.48,0.84
big_shot,-0.62,1.28,2.08,-0.62,1.28,2.08
bigamist,-1.91,-0.06,0.97,-1.91,-0.06,0.97
bigot,-2.69,-0.48,1.46,-2.69,-0.48,1.46
bill_collector,-1.15,1.62,0.83,-1.15,1.62,0.83
biologist,1.86,1.52,-0.11,1.86,1.52,-0.11
bisexual,-0.21,-0.27,0.36,-0.21,-0.27,0.36
bitch,-2.54,0.17,2.3,-2.54,0.17,2.3
blabbermouth,-1.96,-0.12,2.96,-1.96,-0.12,2.96
black_man,1.35,1.04,1.09,1.35,1.04,1.09
black_professional,1.56,1.43,0.73,1.56,1.43,0.73
black_woman,1.36,1.46,1.88,1.36,1.46,1.88
blacksmith,1.2,1.13,0.93,1.2,1.13,0.93
blind_date,0.58,-0.09,0.01,0.58,-0.09,0.01
blind_person,0.65,-1.27,-1.56,0.65,-1.27,-1.56
blockhead,-1.63,-1.26,-0.84,-1.63,-1.26,-0.84
blogger,0.42,0.39,1.02,0.42,0.39,1.02
blonde,0.69,0.28,0.95,0.69,0.28,0.95
blood_donor,3.08,2.25,-0.37,3.08,2.25,-0.37
blue_collar_worker,1.34,-0.3,0.41,1.34,-0.3,0.41
board_director,0.98,2.69,1.26,0.98,2.69,1.26
boarder,0.16,-0.18,-0.11,0.16,-0.18,-0.11
bodyguard,1.84,2.84,0.5,1.84,2.84,0.5
bohemian,0.78,0.19,0.13,0.78,0.19,0.13
bonehead,-1.82,-1.73,-0.8,-1.82,-1.73,-0.8
bookie,-0.49,0.99,-0.16,-0.49,0.99,-0.16
bookkeeper,1.36,-0.28,-1.71,1.36,-0.28,-1.71
bookworm,1.61,0.37,-2.39,1.61,0.37,-2.39
boor,-0.88,-0.6,-1,-0.88,-0.6,-1
bore,-1.66,-1.14,-2.12,-1.66,-1.14,-2.12
born_again_Christian,1.45,0.97,0.78,1.45,0.97,0.78
boss,0.88,3.08,1.33,0.88,3.08,1.33
bouncer,0.61,2.33,0.74,0.61,2.33,0.74
boxer,0.56,2.52,2.54,0.56,2.52,2.54
boy,1.03,0.89,1.74,1.03,0.89,1.74
boy_scout,1.73,0.46,0.96,1.73,0.46,0.96
boyfriend,1.98,1.72,0.92,1.98,1.72,0.92
braggart,-1.73,-0.75,1.88,-1.73,-0.75,1.88
brain,3.41,3.72,2.31,3.41,3.72,2.31
brat,-2.89,-0.08,2.66,-2.89,-0.08,2.66
breadwinner,2.19,2.28,0.9,2.19,2.28,0.9
bricklayer,1.12,0.46,0.03,1.12,0.46,0.03
bride,2.01,1.83,1.29,2.01,1.83,1.29
bridegroom,1.51,1.27,0.15,1.51,1.27,0.15
bridesmaid,2.14,0.41,1.13,2.14,0.41,1.13
broad,-0.29,-0.35,0.98,-0.29,-0.35,0.98
broadcast_news_analyst,0.61,1.32,1.47,0.61,1.32,1.47
brother,1.85,1.71,1.56,1.85,1.71,1.56
brother_in_law,1.07,0.26,0.44,1.07,0.26,0.44
brunette,1.35,0.76,0.42,1.35,0.76,0.42
brute,-2.03,1.79,1.51,-2.03,1.79,1.51
buddy,2.68,1.96,1.1,2.68,1.96,1.1
buffoon,-1.62,-1.31,0.72,-1.62,-1.31,0.72
building_contractor,1.11,1.41,0.98,1.11,1.41,0.98
bulldozer_operator,0.41,1.13,1.51,0.41,1.13,1.51
bully,-3.32,0.74,1.99,-3.32,0.74,1.99
bum,-1.85,-2.49,-1.56,-1.85,-2.49,-1.56
bureaucrat,-0.61,1.34,0.2,-0.61,1.34,0.2
burglar,-3.35,0.93,-0.47,-3.35,0.93,-0.47
bus_driver,1.33,0.15,0.15,1.33,0.15,0.15
busboy,0.85,-1.06,0.6,0.85,-1.06,0.6
businessman,0.69,1.82,1.25,0.69,1.82,1.25
businesswoman,1.86,2.27,1.72,1.86,2.27,1.72
busybody,0.36,0.62,2.43,0.36,0.62,2.43
butcher,0.63,0.85,0.74,0.63,0.85,0.74
bystander,-0.05,-0.54,-1.31,-0.05,-0.54,-1.31
cabinet_maker,1.06,0.62,0.29,1.06,0.62,0.29
cabinet_member,0.55,1.82,0.48,0.55,1.82,0.48
cad,-1.17,-0.57,0.97,-1.17,-0.57,0.97
call_girl,-1.08,-0.66,1.03,-1.08,-0.66,1.03
capitalist,0.65,1.71,1.29,0.65,1.71,1.29
captive,-1.14,-2.66,-0.87,-1.14,-2.66,-0.87
carpenter,1.26,0.69,1.02,1.26,0.69,1.02
cashier,0.61,-0.75,0.45,0.61,-0.75,0.45
casual_laborer,0.8,-0.43,-0.07,0.8,-0.43,-0.07
celebrity,0.3,2.17,2.05,0.3,2.17,2.05
cement_worker,0.74,0.08,0.83,0.74,0.08,0.83
censor,-0.84,1.64,-0.22,-0.84,1.64,-0.22
chain_smoker,-2.4,-1.7,-0.65,-2.4,-1.7,-0.65
chairman,0.62,2.46,0.63,0.62,2.46,0.63
chairman_of_the_board,0.92,2.95,1.01,0.92,2.95,1.01
chairperson,1.03,2.52,0.83,1.03,2.52,0.83
chairwoman,1.45,2.35,0.93,1.45,2.35,0.93
chambermaid,0.39,-1.43,-0.75,0.39,-1.43,-0.75
champion,2.29,2.86,1.93,2.29,2.86,1.93
chap,1.12,0.08,0.45,1.12,0.08,0.45
chaperone,0.93,1.33,-0.12,0.93,1.33,-0.12
chaplain,2.04,1.7,-0.31,2.04,1.7,-0.31
chatterbox,-0.42,0.27,2.96,-0.42,0.27,2.96
chauffeur,1.41,-0.39,-0.71,1.41,-0.39,-0.71
cheat,-3.03,-0.58,-0.14,-3.03,-0.58,-0.14
cheerleader,1.08,0.09,3.05,1.08,0.09,3.05
chef,1.91,1.49,1.82,1.91,1.49,1.82
chemical_engineer,1.69,1.86,-0.43,1.69,1.86,-0.43
chemist,1.61,1.78,-0.63,1.61,1.78,-0.63
chief_operations_officer,0.94,2.52,1.11,0.94,2.52,1.11
child,1.97,-1.17,1.99,1.97,-1.17,1.99
child_molester,-4.17,0.15,-0.91,-4.17,0.15,-0.91
chiropractor,1.63,1.28,-0.3,1.63,1.28,-0.3
choreographer,1.31,1.13,2.12,1.31,1.13,2.12
chum,-0.84,-1.16,-0.82,-0.84,-1.16,-0.82
church_deacon,1.44,1.43,-0.13,1.44,1.43,-0.13
citizen,1.42,1,0.52,1.42,1,0.52
city_councilor,0.57,1.89,0.8,0.57,1.89,0.8
civil_engineer,1.84,1.58,-0.03,1.84,1.58,-0.03
civil_servant,1.13,-0.42,-0.54,1.13,-0.42,-0.54
classmate,1,0.21,0.27,1,0.21,0.27
cleaning_woman,1.65,-0.06,-0.02,1.65,-0.06,-0.02
clergy,0.94,1.42,-0.64,0.94,1.42,-0.64
clerical_worker,1.1,-0.08,-0.55,1.1,-0.08,-0.55
clerk,1.02,-0.39,-0.11,1.02,-0.39,-0.11
client,1.39,1.27,0.92,1.39,1.27,0.92
clod,-1.18,-0.48,-0.34,-1.18,-0.48,-0.34
clown,-0.18,-1.15,2.03,-0.18,-1.15,2.03
co_worker,1.39,0.25,0.43,1.39,0.25,0.43
coach,2.02,2.6,2.34,2.02,2.6,2.34
coal_miner,0.78,0.02,0.48,0.78,0.02,0.48
collaborator,1.42,1.34,0.76,1.42,1.34,0.76
colleague,1.57,1.02,0.39,1.57,1.02,0.39
college_student,1.78,0.4,1.81,1.78,0.4,1.81
comedian,1.85,1.16,2.97,1.85,1.16,2.97
commentator,0.98,0.96,1.94,0.98,0.96,1.94
commissioned_officer,1.33,2.06,0.89,1.33,2.06,0.89
commissioner,0.88,1.77,0.59,0.88,1.77,0.59
communist,-1.41,0.58,0.42,-1.41,0.58,0.42
companion,3.11,2.1,0.4,3.11,2.1,0.4
competitor,0.35,1.88,1.59,0.35,1.88,1.59
computer_programmer,1.59,1.54,-0.03,1.59,1.54,-0.03
computer_security_specialist,1.52,1.46,-0.67,1.52,1.46,-0.67
computer_support_specialist,1.45,0.76,0.07,1.45,0.76,0.07
con_artist,-2.52,1.42,0.86,-2.52,1.42,0.86
confidant,2.46,2.44,-0.53,2.46,2.44,-0.53
conformist,-1.06,-2.01,-0.91,-1.06,-2.01,-0.91
connoisseur,1.35,0.97,-0.04,1.35,0.97,-0.04
conservative,0.48,0.55,-0.25,0.48,0.55,-0.25
construction_contractor,1.19,1.4,1.33,1.19,1.4,1.33
construction_foreman,1.11,1.44,1.46,1.11,1.44,1.46
construction_laborer,1.2,0.69,1.58,1.2,0.69,1.58
consultant,1.61,1.59,0.82,1.61,1.59,0.82
consumer,1.17,1.44,0.99,1.17,1.44,0.99
convict,-2.18,-1.02,0.36,-2.18,-1.02,0.36
cook,2.16,1.66,1.51,2.16,1.66,1.51
cop,0.96,2.66,1.05,0.96,2.66,1.05
copycat,-1.99,-1.23,0.03,-1.99,-1.23,0.03
coroner,0.58,0.52,-1.27,0.58,0.52,-1.27
cosmetologist,1.41,0.37,0.53,1.41,0.37,0.53
counselor,2.58,1.6,-0.84,2.58,1.6,-0.84
cousin,1.52,0.3,0.7,1.52,0.3,0.7
coward,-2.32,-3.01,-2.04,-2.32,-3.01,-2.04
craftsman,1.71,0.96,-0.21,1.71,0.96,-0.21
crane_operator,0.91,1.3,0.09,0.91,1.3,0.09
creditor,-0.56,1.61,0.58,-0.56,1.61,0.58
criminal,-2.58,-0.25,0.59,-2.58,-0.25,0.59
cripple,-0.05,-1.91,-1.87,-0.05,-1.91,-1.87
critic,-0.45,1.55,1.32,-0.45,1.55,1.32
crook,-2.77,-0.31,0.21,-2.77,-0.31,0.21
crybaby,-2.46,-2.1,1.91,-2.46,-2.1,1.91
culprit,-2.15,-0.16,0.75,-2.15,-0.16,0.75
custodian,1.49,-0.9,-1.02,1.49,-0.9,-1.02
customer,1.19,1.38,0.62,1.19,1.38,0.62
customer_systems_analyst,0.9,0.3,-0.63,0.9,0.3,-0.63
customs_officer,0.27,1.35,-0.03,0.27,1.35,-0.03
cutthroat,-2.05,1.4,0.93,-2.05,1.4,0.93
cynic,-1.43,-0.4,0.26,-1.43,-0.4,0.26
dairy_farmer,1.52,0.39,-0.68,1.52,0.39,-0.68
daredevil,0.54,1.69,3.17,0.54,1.69,3.17
daughter,1.69,0.92,1.26,1.69,0.92,1.26
daughter_in_law,1.33,0.24,0.13,1.33,0.24,0.13
deadbeat,-2.72,-2.47,-1.95,-2.72,-2.47,-1.95
deadbeat_dad,-3.35,-0.9,-0.99,-3.35,-0.9,-0.99
decorator,1.62,0.62,1.08,1.62,0.62,1.08
defendant,0.15,-0.47,-0.1,0.15,-0.47,-0.1
defense_attorney,0.88,2.17,1.44,0.88,2.17,1.44
degenerate,-1.67,-1.41,-0.49,-1.67,-1.41,-0.49
delinquent,-2.26,-1.14,1.41,-2.26,-1.14,1.41
dental_assistant,1.31,-0.09,0.02,1.31,-0.09,0.02
dental_hygienist,1.71,0.91,0.32,1.71,0.91,0.32
dentist,1.54,1.33,0.16,1.54,1.33,0.16
deputy,1.03,1.97,0.77,1.03,1.97,0.77
detective,1.7,1.95,-0.7,1.7,1.95,-0.7
devil,-3.6,1.93,1.3,-3.6,1.93,1.3
dietitian,1.52,0.77,-0.18,1.52,0.77,-0.18
dimwit,-1.51,-2.12,-1.24,-1.51,-2.12,-1.24
diner,1.43,-0.22,1.6,1.43,-0.22,1.6
diplomat,1.11,2.34,0.93,1.11,2.34,0.93
disabled_person,0.31,-1,-1.3,0.31,-1,-1.3
disciplinarian,0.11,2.21,0.99,0.11,2.21,0.99
dishwasher,1.77,0.09,1.49,1.77,0.09,1.49
